(''banco do brasil cobra restituicao de recursos de depositos judiciais do governo de minas'', ''Negative''),
(''nandinhatanaka os governadores de mg gostam muito de helicopteros'', ''Negative''),
(''agora aguentem mas nao podemos esquecer que ele declarou estado de emergencia em minas e vejam a hipocrisia desse s'', ''Negative''),
(''nonato mesmo em calamidade financeira governo de mg compra mais dois helicopteros via bol'', ''Negative''),
(''occ calamidade financeira e compra helicopteros e usa para resgatar o vagabundo do filho bebaco esses comunos'', ''Negative''),
(''ofalador governo de minas deveria pedir a istoe que apresente documentos que comprovem a manchete helicopteros de pimentelo gente'', ''Negative''),
(''oldairt rio e minas pensei que estivessem em crise governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''olelias gpronaldo com um governador desse qualquer corrupto vai querer ser candidato em mg ate as faccoes do lula bebado'', ''Negative''),
(''olelias governador de mg uma vergonha nacional e caradepau gpronaldo new delia neusamandrade leilaneneubarth carlastrass let'', ''Negative''),
(''operadoresbr bando do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''operadoresbr bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''organizadantipt bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''organizadantipt mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''osul noticias governador de minas que usou helicoptero para buscar seu filho em uma festa quer comprar mais dois'', ''Negative''),
(''pablovillaca perai fernando pimentel governador das minhas minas gerais foi buscar o filho com helicoptero do estado que exemplo'', ''Negative''),
(''pablovillaca pimentel governador de mg e eleito pelo pt disse que a lei permite o uso do helicoptero olha pode ate ser mas a e'', ''Negative''),
(''pami px o antagonista esse homem ainda esta solto obrigada stf obrigada assemleia legislativa do estado vcs fazem mto pelo pais e po'', ''Negative''),
(''pandarcds o pt so conhece a vida de marajamesmo o estado de minas gerais estar quebrado'', ''Negative''),
(''panichiraphael esta ruim para o estado de minas gerais para o pimentel e sua familia nao papai busca eles de helicoptero com o dinhe'', ''Negative''),
(''paraiba online acoes na justica cobram devassa nos voos do governador de minas gerais'', ''Negative''),
(''paulacamara pimentel compra mais dois helicopteros'', ''Negative''),
(''paulogmmoura licitacao ocorre em meio a ‘calamidade financeira’ do estado e a polemica sobre uso de aeronave por fernando'', ''Negative''),
(''pinguim mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''politicanaweb governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''portalmigalhas bb e estado de mg travam disputa juridica envolvendo depositos judiciais'', ''Negative''),
(''prosapolitica mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''ptpontonoticia bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''radiobandnewsfm video do governador de mg utilizando helicoptero oficial para supostamente transportar filho durante o reveillon reper'', ''Negative''),
(''radioitatiaia mesmo em calamidade financeira governo de minas compra mais dois helicopteros'', ''Negative''),
(''rafaelpguy mesmo em calamidade financeira governo de mg compra mais dois helicopteros uol'', ''Negative''),
(''rbrasiliense caradepau e o governador de minas fernando pimentel que depois de ser flagrado pegando o filhao na festa comprou mai'', ''Negative''),
(''rbrasiliense em calamidade financeira governo de mg compra dois helicopteros by via cnvey'', ''Negative''),
(''rede apos decretar calamidade financeira em mg governo pimentel triplica gastos com bebidas e iguarias para palacios'', ''Negative''),
(''rede em meio a calamidade financeira pimentel compra mais dois helicopteros para o governo de minas'', ''Negative''),
(''rede tre de minas gerais confirma novamente rejeicao de contas das campanhas de fernando pimentel e do pt no estado'', ''Negative''),
(''reutersbrazil bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''revistaistoe mesmo em ‘calamidade financeira’ governo de fernando pimentel em mg compra mais dois helicopteros'', ''Negative''),
(''revistaistoe pimentel vai buscar filho em festa de reveillon com helicoptero do governo de mg'', ''Negative''),
(''revistavoto governo de gasta r milhoes com helicopteros'', ''Negative''),
(''rgflores em crise financeira governo de mg abre licitacao para mais helicopteros pimentel nao quer deixar o filho na mao'', ''Negative''),
(''robertocrz em calamidade financeira governo de mg compra dois helicopteros via vejacom'', ''Negative''),
(''robertotiburcio sobre a manguaca do filho do governador de minas fernando pimentel do ptninguem da imprensa fala nada bolsa m'', ''Negative''),
(''robertotiburcio vergonha em minas gerais estado quebrado e a balada de fernando pimentel em meio a calamidade financeira de mg htt'', ''Negative''),
(''rogeriocorreia ltando o rab da anac e possivel ver que o prefixo do helicoptero usado por pimentel e de fato do governo de minas'', ''Negative''),
(''rui robson infelizmente a realidade vai ser essa sendo que fernando pimentel deveria ser cassado chutado expulso do governo de mi'', ''Negative''),
(''saleluzconsult governador de minas usa helicoptero do estado para buscar filho em festa by via'', ''Negative''),
(''salseira em calamidade financeira governo de mg compra dois helicopteros via vejacom'', ''Negative''),
(''silvio mkt fernando pimentel pisa e cospe em cima dos mineiros e impressionante a cara de pau desse'', ''Negative''),
(''silvio mkt pimentel mente o decreto nao autoriza o governador a usar aeronaves em momento de'', ''Negative''),
(''silvio mkt se beber n dirija se for filho d fernando pimentel governador d minas n se preocupe um helicoptero pago c dinheiro pub'', ''Negative''),
(''sitedaboa brasilia o governo de minas gastara ao menos r milhoes com a compra de helicopteros as despesas estao'', ''Negative''),
(''mesmo em calamidade financeira governo de mg compra mais dois helicopteros uol'', ''Negative''),
(''a pressao e marcacao cerrada da policia militar de mg contra o governo pimentel pt merece uma investigacao'', ''Negative''),
(''suzalo em calamidade financeira governo de mg compra dois helicopteros via vejacom'', ''Negative''),
(''claro afinal a familia do pilantrel e numerosa'', ''Negative''),
(''traderbolsa bando do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''tradersclubbr bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''tradersclubbr em calamidade financeira mg compra dois helicopteros'', ''Negative''),
(''tukascaletti via estadao governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''uma brasileira aproximadamente r bilhao para o pagamento de resgates dos depositos judiciais sumiram das contas do governo de min'', ''Negative''),
(''custaram r milhoes mesmo em calamidade governo de mg compra mais dois helicopteros'', ''Negative''),
(''governo em calamidade financeira bb avisa justica que minas nao tem recursos'', ''Negative''),
(''utherpendragon transformou minas numa republiqueta de negociatas um amontoado de bandidos de ratos roendo em beneficio proprio tudo q'', ''Negative''),
(''vando correia os nomes e valores da lista de furnas governadormg aecio neves psdbmg'', ''Negative''),
(''veja em calamidade financeira governo de mg compra dois helicopteros'', ''Negative''),
(''vemprarua arroz de terceira bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''vicente q filho custaram r milhoes mesmo em calamidade governo de mg compra mais dois by'', ''Negative''),
(''xandalquadros mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''zegeraldo banco do brasil cobra de minas r bilhao em depositos judiciais'', ''Negative''),
(''site da caixa fora site do governo de minas fora dificil trabalhar assim'', ''Negative''),
(''situacao do estado do se agrava'', ''Negative''),
(''sobre a manguaca do filho do governador de minas fernando pimentel do ptninguem da imprensa fala nada bolsa manguaca e o povooh'', ''Negative''),
(''superlotacao aumenta o risco em presidios do norte de minas gerais estado de minas'', ''Negative''),
(''tinha que ser do pt essa desgraca do governador de minas fernando pimentelseu fdp'', ''Negative''),
(''tipo de gente do governo deputado cabo julio e condenado e fica inelegivel por anos politica estado de minas'', ''Negative''),
(''transformou minas numa republiqueta de negociatas um amontoado de bandidos de ratos roendo em beneficio proprio tud'', ''Negative''),
(''tristeza mineira e brasileira banco do brasil cobra de minas r bilhao em depositos judiciais'', ''Negative''),
(''tt governo busca nome para substituir secretario que defendeu massacres estado de minas'', ''Negative''),
(''um e pouco dinheiro sobrando governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''governo em calamidade financeira bb avisa justica que minas nao tem recursos'', ''Negative''),
(''polemica com filho de pimentel governo de minas preve gasto de r mi com helicopteros'', ''Negative''),
(''uso de depositos judiciais pelo governo tem nova polemica em mg via pocket blogdopim'', ''Negative''),
(''usou o para comprar mas helicopteros ne nao bb avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''vaquinha de r mil paga fianca de petista politica estado de minas'', ''Negative''),
(''vc e um doente mental desequilibrado e muito me espanta a maconaria ter permitido vc no governo de minas gerais'', ''Negative''),
(''vereador preso vai receber salario de r mil em caratinga politica estado de minas'', ''Negative''),
(''via estadao governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''video mostra pimentel em helicoptero buscando filho governador defende uso'', ''Negative''),
(''virou noticia banco do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''virou noticia mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''vooooaaaaa minas voa nos helicopteros do pimentel'', ''Negative''),
(''estou em outro estado comprei durante as ferias em mg'', ''Neutral''),
(''justamente isso morreu bandido e indenizado enquanto isso os inocentes estao sem aparo do governo'', ''Neutral''),
(''eu sou do interior de mg mas minha cidade faz divisa com o estado de sp o mais perto que eu conheco aqui e o breno'', ''Neutral''),
(''o governo de minas da ate estojosocorro'', ''Neutral''),
(''bom dia professor estou aqui em governador valadares mg assistindo o melhor professor voce abracoooo taynnara'', ''Neutral''),
(''o aecio quando governador de minas fez mais de viagens para ir a praia no rio de janeiro cade a indignacao'', ''Neutral''),
(''isso tudo e um absurdo legal mesmo e isso aqui'', ''Neutral''),
(''entao qual e o governador das minas gerais'', ''Neutral''),
(''discutem retomada do convenio para construcao da barragem do jequitai veja'', ''Neutral''),
(''boa tarde consulado do galo de governador valadares mg ajude a divulgar obrigalo'', ''Neutral''),
(''praticamente hahah uma parte da minha familia e de mg pra mim e o melhor estado p passear no brasil'', ''Neutral''),
(''vao se apaixonar pelo melhor estado do brasil e pelo maior de mg sejam bem vindos a bh'', ''Neutral''),
(''a internet ta ruim no estado de mg'', ''Neutral''),
(''estou hahahaha mas trabalho mais pro impresso estado de minas'', ''Neutral''),
(''mineirao e do governo de minas ai joga no indepencia pq torcida so enche caixa de fosforo'', ''Neutral''),
(''o estado da idade do ferro e sua capital'', ''Neutral''),
(''cobrir isto'', ''Neutral''),
(''ja visitou o estado de mg se sim o que achou'', ''Neutral''),
(''e apenas uma proposta pelo reserva do fred ta caro nao e a compra do estado de minas tche tche moises'', ''Neutral''),
(''vao eleger novos prefeitos e vereadores para o colegiado executivo e avancar na participacao popular'', ''Neutral''),
(''william nao tem mais clima para prosseguir no maior time do estado de minas gerais fora william'', ''Neutral''),
(''o complicado e isso desse jeito nunca teremos uma terceira quarta forca no estado nao da pros clubes do interior investir'', ''Neutral''),
(''incorreto no socialismo a elite nunca se fode o estado fede'', ''Neutral''),
(''se minas tivesse mar esse estado ia ser o paraiso hahaha'', ''Neutral''),
(''boa noite governador gostaria de um emprego trabalho na area da industria meu governador pt minas gerais'', ''Neutral''),
(''tu estas em mg ha uma zona de baixa pressao em cima do estado que impede a formacao de nuvens'', ''Neutral''),
(''sp e realmente fascinantetem varios contrastesmas minas e um estado bom tbmalias o brasil e um belo paisso q mau adm'', ''Neutral''),
(''estado de minas bunitao chegados do aecio'', ''Neutral''),
(''minas gerais estado do pao de queij'', ''Neutral''),
(''vc e de qual estado de minas so para saber mesmo se pa e meu vizinho'', ''Neutral''),
(''governador valadares registra dois assassinatos em menos de uma hora'', ''Neutral''),
(''ufjf abre vagas para cursos em governador valadares'', ''Neutral''),
(''governador valadares registra dois assassinatos em menos de'', ''Neutral''),
(''o melhor queijo do mundo e daqui do brasil mais exatamente do estado de minas gerais'', ''Neutral''),
(''conheco bem as apacs de quando trabalhei no governo de mg'', ''Neutral''),
(''ola podemos usar a sua foto no jornal estado de minas obrigada'', ''Neutral''),
(''por favor comentem a compra de dois helicopteros pelo governo de minas gerais e uso do helicopteros por pimentel'', ''Neutral''),
(''teria como doar sangue pra ele morando em outro estado eu sou de minas e gostaria de ajudar'', ''Neutral''),
(''ola kelly somos do estado do parana mas o servico esta em minas gerais tambem ligue e denuncie'', ''Neutral''),
(''aqui em minas nenhum dos grandes portais itatiaia superesportes estado de minas noticia isso ate os setoristas desconhecem'', ''Neutral''),
(''qual sua principal meta pra que deus te abencoe cada dia mais volta pra governador valadares mg hahah'', ''Neutral''),
(''anuncia no estado de minas o bcta kkkkkkk'', ''Neutral''),
(''mira no me quiero ni imaginar ese estado asi mg'', ''Neutral''),
(''eu fico meio pistola porque minas e o estado que mais produz cafe porem o melhor vai pro exterior e aqui do msm custa absurdos'', ''Neutral''),
(''mg tengo que ser sirvienta tuya hasta por mi estado'', ''Neutral''),
(''amm que le pones mg a mo estado el finde hagamos algo asi te despedimos dspea te vamos a extraarrr'', ''Neutral''),
(''so lembrando que este crapulamesmo com todo o apoio da midia e dessas eleicoes controladasnao venceu em mg estado dele'', ''Neutral''),
(''esses sim precisam de indenizacao do governo'', ''Neutral''),
(''esse sotaque de minas seu melhor estado nao e msm amo'', ''Neutral''),
(''salveem mg ta do mesmo estado'', ''Neutral''),
(''se voce mora em agua doce do nortees as capela mais proximas ficam em governador valadaresmg e nova veneciaes'', ''Neutral''),
(''segue o causador da nota'', ''Neutral''),
(''vou te dar uma dica nao vai mais pra bh fazer show vai pra governador valadares mg que vai dar certo cola que e sucesso'', ''Neutral''),
(''porq vc nao pensou em fazer faculdade aqui em mg ou mais pertinho do meu estado'', ''Neutral''),
(''vao cobrir isto'', ''Neutral''),
(''professor mande um abraco pra turma de governador valadares mg'', ''Neutral''),
(''estado em q ironicamente os pedagios eram mt mais caro q os de minas'', ''Neutral''),
(''olhar para os bairros tem tudo pra ser o futuro governador de minas'', ''Neutral''),
(''provavelmente e mano muda de estado pra estado tipo em mg skol e ruim e brahma e boa aqui e o contrario disso'', ''Neutral''),
(''amigo quero muito estou completamente apaixonada pelo grande estado de mg'', ''Neutral''),
(''pato branco minas gerais desculpa eu sou tipo priscila e yudi se eu ouvir nome de cidade tenho que falar o estado'', ''Neutral''),
(''qualquer tem mais brasileiro q o alt mineiro ate o bahia se trocasse de estado com o cruzeiro bahia seria o maior de minas'', ''Neutral''),
(''nao e a realidade de todas mas mg df go dentre outros sao totalmente diferentes de um estado p outro'', ''Neutral''),
(''leio o estado de minas impresso quase todo dia domingo e certo ler jornal e gostoso demais'', ''Neutral''),
(''as frangas piram com nossa marca maior de minas chupa terceira torcida do estado todos sabem fla e a segunda de minas'', ''Neutral''),
(''se solicita herceptin de mg para paciente mariana reinoza estado merida'', ''Neutral''),
(''buenos dias requiero paroxetina o fluoxetina de mg o prozac en valencia estado carabobo agradecida de antemano'', ''Neutral''),
(''estado rj sul mg parece quase um brasileirao ne'', ''Neutral''),
(''voce quer que deixe nas maos do estado para morrer mais'', ''Neutral''),
(''governador valadares mg'', ''Neutral''),
(''como sabia que ibas a dar mg a ese tweet sabes que he estado a punto de mencionarte en el simbiosis de primas everywhere'', ''Neutral''),
(''bem vindo ao maior de minas aqui despontou ronaldo fenomeno e o clube com mais trofeus do estado'', ''Neutral''),
(''seja bem vindo ao maior clube de futebol do estado de minas gerais sucesso'', ''Neutral''),
(''minas e o melhor estado'', ''Neutral''),
(''risco de calote de estados com a uniao cresce politica estado de minas'', ''Neutral''),
(''me copie de un estado que mg pero nqv bebe'', ''Neutral''),
(''governador valadares leste de minas'', ''Neutral''),
(''corrupcao benjamin netanyahu se diz inocente apos acusacoes de corrupcao estado de minas'', ''Neutral''),
(''corrupcao mais de um milhao de pessoas punidas por corrupcao na china estado de minas'', ''Neutral''),
(''️governador valadares minas gerais'', ''Neutral''),
(''da fundacao do municipio brasileiro de grao mogol estado de minas gerais dia da fundacao do municipio'', ''Neutral''),
(''o governador de minas gerais itamar franco pmdb decretou a moratoria de seu estado durante'', ''Neutral''),
(''da fundacao do municipio brasileiro de carangola estado de minas gerais dia da fundacao do municipio'', ''Neutral''),
(''e adaptada a bandeira do estado de minas gerais'', ''Neutral''),
(''ontem eu encontrei um amigo que esta no governo de minas pedro o q vc acha da comunicacao do governo e do governador mediocre'', ''Neutral''),
(''correto o fernando esperem entretanto quando cf negar o mesmo arrego a mg a atualizacao da narrativa foi'', ''Neutral''),
(''mg en un estado no lo puedo creer'', ''Neutral''),
(''mrortos em minas gerais com a alta incidencia a secretaria de estado de saude mantem alerta para moradores e'', ''Neutral''),
(''hatualizacao carroxcarro br bom destino sta luzia acidente envolveu carros vits estado grave vits ferimentos leves'', ''Neutral''),
(''mg nomas tubo mi estado jaja'', ''Neutral''),
(''vc so percebe isso quando passa anos morando em um estado como mg onde o povo e discreto e nao metido a besta'', ''Neutral''),
(''jovens negros tortura deficiente mental por ser branco e eleitor do trump internacional estado de minas'', ''Neutral''),
(''hailey tem uma tatuagem escrita “minas gerais” estado em que sua avo nasceu'', ''Neutral''),
(''a cruzeirense e o sao destaque do caderno de tv do estado de minas deste domingo'', ''Neutral''),
(''a alemanha e menor do que o estado de minas gerais e mesmo assim e mais rica do que o brasil inteiro pso que uma boa administracao faz'', ''Neutral''),
(''a cidade de para de minas e o melhor lugar do mundo tem as coisas que eu mais gosto nessa vida em seu nome o estado de mg e o jogador para'', ''Neutral''),
(''a convite do carlos marcelo carvalho publiquei no estado de minas de de dezembro um artigo cronica'', ''Neutral''),
(''a democracia do pt escondese os mal feitos dai nao ha mais mal feitos'', ''Neutral''),
(''a foto nao seria a dos governadores anastazia e aecio'', ''Neutral''),
(''a materia que se segue foi publicada no jornal estado de minas no dia de dezembro de e um perfil do'', ''Neutral''),
(''a partir do mes que o governo de minas de saber como esta sendo assim'', ''Neutral''),
(''a primeira turne do ano comeca no estado de minas gerais e vcs estao todos convidados'', ''Neutral''),
(''a yris e burra pra caralho nao sabe nem do estado q ela mora eu q sou do rj tive que estudar sobre mg'', ''Neutral''),
(''abimaq mudancas do bndes sao boas mas nao tem forca para retomar investimento economia estado de minas'', ''Neutral''),
(''acabo de leer que un estupido puso que las minas quedan embarazadas por usar forros del estado si te los da es para que no quedes'', ''Neutral''),
(''aceita rivalidade fora do estado e flamengo x atleticomg ate pode se dizer que com corinthians rivalidade com p'', ''Neutral''),
(''acidente de trem deixa feridos no brooklyn em ny estado de minas'', ''Neutral''),
(''acidente mata uma mulher e fecha a br em santa luzia gerais estado de minas'', ''Neutral''),
(''adelia prado vence o premio governo de minas gerais de literatura'', ''Neutral''),
(''advogado que visitou cunha repassou impressoes a subchefe da casa civil politica estado de minas'', ''Neutral''),
(''aecio neves psdb tem que ter votos pelo menos em seu estado minas gerais pra poder querer bate frente com alckmin'', ''Neutral''),
(''aff nem liminar suspende gratuidade de estacionamento em centros de compras de bh economia estado de minas'', ''Neutral''),
(''agencia minas gerais foruns regionais de governo vao eleger novos prefeitos e vereadores para o co'', ''Neutral''),
(''agora e o estado de minas que da informacoes sobre o convite da'', ''Neutral''),
(''agora foi completo tem o governador e o prefeito que merece isso e mais um exemplo de bandidagem operando livreme'', ''Neutral''),
(''agora que minha mae disse que ok eu estudar em outro estado ces acham mesmo que vou continuar em mg rsrs'', ''Neutral''),
(''agora sim shopping que cobrar estacionamento em bh vai pagar multa de r mil economia estado de minas'', ''Neutral''),
(''agradezco no haber estado en todo el dia en tw que pena ver su bardo por un mg'', ''Neutral''),
(''alagran que j i cohen no estaba tambien implicado en el caso de cooptacion del estado'', ''Neutral''),
(''alba le puso mg a mi estado y al toque me acorde del audio que le mande a mica por su culpa'', ''Neutral''),
(''alckmin e doria anunciam integracao das redes de educacao de sao paulo nacional estado de minas'', ''Neutral''),
(''alckmin recusou intimacao sobre suspensao de reajuste nas tarifas diz oficial estado de minas'', ''Neutral''),
(''alerta segundo secretaria de saude de minas gerais sobe para o numero de mortes suspeitas por febre amarela no estado'', ''Neutral''),
(''alguma duvida que isso daria errado banco do brasil cobra de minas r bilhao em depositos judiciais'', ''Neutral''),
(''alta do pib deste ano segue em afirma focus estado de minas'', ''Neutral''),
(''americano reage a assalto e acaba preso por tentar agredir ladrao no rio nacional estado de minas'', ''Neutral''),
(''amigos e familiares fazem passeata apos desaparecimento de casal na grande bh gerais estado de minas'', ''Neutral''),
(''amo minas gerais amo meu estado minas na veia uhu'', ''Neutral''),
(''ano passado eu dei pt em mg qual vai ser o estado que tera a honra de presenciar meu pt em'', ''Neutral''),
(''aos amigos refugiados a universidade federal do triangulo mineiro–uftm localizada no estado de minas gerais'', ''Neutral''),
(''apartamento e invadido por mais de morcegos em sao joao delrei gerais estado de minas'', ''Neutral''),
(''apenas um paliativo'', ''Neutral''),
(''apos massacre em manaus governo antecipa medidas do plano estado de minas'', ''Neutral''),
(''apos polemica secretaria da juventude deve continuar com minas politica estado de minas'', ''Neutral''),
(''apos prisao por exploracao sexual infantil irmao de garotinho toma posse politica estado de minas'', ''Neutral''),
(''apos reacao negativa temer defende no twitter uso da palavra acidente nacional estado de minas'', ''Neutral''),
(''apos ser agredida mulher atira contra homem em governador valadares'', ''Neutral''),
(''assaltantes fazem familia refem dentro de casa e levam r mil gerais estado de minas'', ''Neutral''),
(''assange rejeita relatorio dos eua sobre ingerencia eleitoral russa estado de minas'', ''Neutral''),
(''assim caminha os homensvideo mostra segurancas agredindo morador de rua em porto alegre nacional estado de minas'', ''Neutral''),
(''assim seja starbucks quer triplicar numero de lojas no pais incluindo bh economia estado de minas'', ''Neutral''),
(''astronautas concluem primeira caminhada espacial do ano na iss estado de minas'', ''Neutral''),
(''ataque a lider da igreja mundial pastor valdemiro e transmitido ao vivo estado de minasl'', ''Neutral''),
(''atencao atendemos todo estado minas gerais temos um sistema offgrid aonde nao a uso de energia da'', ''Neutral''),
(''atendendo a uma demanda apresentada por nos o governo de minas enviou oficios informando do pagamento de'', ''Neutral''),
(''atentado na turquia deixa dois mortos cinco dias apos massacre em istambul estado de minas'', ''Neutral''),
(''atentado suicida em bagda mata doze pessoas estado de minas'', ''Neutral''),
(''atentados suicidas contra mercados em bagda fazem ao menos mortos estado de minas'', ''Neutral''),
(''atirador mata cinco e fere oito em aeroporto de fort lauderdale estado de minas'', ''Neutral''),
(''ativistas voltam as ruas de bh contra aumento da tarifa de onibus gerais estado de minas'', ''Neutral''),
(''azul comeca venda de passagens de bh para buenos aires por r o trecho economia estado de minas'', ''Neutral''),
(''bancada do psd vai reavaliar apoio a rosso politica estado de minas'', ''Neutral''),
(''batida entre caminhao e carro deixa cinco mortos na br no sul de minas gerais estado de minas'', ''Neutral''),
(''bebamos gauchao do paulinho in governador valadares minas gerais'', ''Neutral''),
(''bebe e internado na australia apos uso de protetor solar internacional estado de minas'', ''Neutral''),
(''bem vindo ao maior clube do estado de minas gerais'', ''Neutral''),
(''benjamin netanyahu se diz inocente apos acusacoes de corrupcao estado de minas'', ''Neutral''),
(''bitcoin supera dolares seu maximo em tres anos estado de minas'', ''Neutral''),
(''boa tarde como que tira ferias e descansa com noticias assim tem que se desligar e tudo mesmo neste periodo'', ''Neutral''),
(''bom dia galera tricolor olha a ibituruna em governador valadares ai lugar em minas gerais repleta de sao paulinos'', ''Neutral''),
(''bom dia in governador valadares minas gerais'', ''Neutral''),
(''bom dia esta e a capa do estado de minas desta terca de janeiro de leia mais em'', ''Neutral''),
(''bom dia veja a capa da edicao digital do estado de minas de hoje de janeiro leia mais no'', ''Neutral''),
(''brasil o pais mais idiota do mundo vereador preso recebe salario de r mil em caratinga politica estado de minas'', ''Neutral''),
(''brazil indios pataxos se formam em medicina na ufmg gerais estado de minas'', ''Neutral''),
(''cabo da pm baleado na cabeca ao tentar impedir assalto morre depois de seis dias gerais estado de minas'', ''Neutral''),
(''cadeia em manaus tem mortos estados pedem ajuda estado de minas'', ''Neutral''),
(''caiu no vestibular prova de fisica da uemg universidade do estado de minas gerais'', ''Neutral''),
(''cambio fenitoina sodica de mg por tegretol de o o por carbamzepina cabimas estado zulia'', ''Neutral''),
(''capa do estado de minas de hoje'', ''Neutral''),
(''capital teresina funed investiga cinco mortes por suspeita de febre amarela em minas estado de minas a fundacao'', ''Neutral''),
(''carangola editada a partir da rede do companhia de tecnologia da informacao do estado de mg prodemge'', ''Neutral''),
(''carmen deve julgar nos proximos dias reclamacao do governo de mg sobre bloqueio de contas do estado em momento de'', ''Neutral''),
(''cavalo emociona ao se despedir de dono em enterro – estado de minas estado de minas cavalo'', ''Neutral''),
(''chiquinho politizador gastanca continua em mg isto porque o governador decretou estado de calamidade'', ''Neutral''),
(''chuva ajuda e principal nascente do rio sao francisco volta a jorrar agua gerais estado de minas'', ''Neutral''),
(''chuva alaga e fecha estacao jardim sao paulo do metro na zona estado de minas'', ''Neutral''),
(''chuva com granizo atinge bh e provoca alagamento no anel rodoviario gerais estado de minas'', ''Neutral''),
(''chuva com granizo volta a atingir bh pelo segundo dia seguido gerais estado de minas'', ''Neutral''),
(''chuva pode refrescar o calor em bh nesta quartafeira gerais estado de minas'', ''Neutral''),
(''ciclo do ouro periodo que marca a ascensao do atual estado de minas gerais na economia colonial em a sede do part'', ''Neutral''),
(''cinco presos fogem de cadeia em minas armados gerais estado de minas'', ''Neutral''),
(''coisa linda ver a adelia prado sendo premiada pelo seu conjunto da obra ela mais que merece'', ''Neutral''),
(''com a palavra o tjmg'', ''Neutral''),
(''com demanda reprimida mercado imobiliario tem queda de precos pelo terceiro ano seguido economia estado de minas'', ''Neutral''),
(''com o pai preso filhos de cunha curtem a vida adoidado politica estado de minas'', ''Neutral''),
(''com o pai presofilhos de eduardo cunha curtem a via adoidado neste veraojornal estado de minaspreocupados ne'', ''Neutral''),
(''com seis casos confirmados diamantina tem surto de malaria gerais estado de minas'', ''Neutral''),
(''com suspeita de surto de febre amarela no interior de mg governo alerta oms e envia equipes p investigar casos'', ''Neutral''),
(''combate a cheias opoe doria e haddad estado de minas'', ''Neutral''),
(''comerciantes de brixton se mobilizam contra risco de gentrificacao estado de minas'', ''Neutral''),
(''como todo comunista pego abusando dos previlegios em vez de se corrigir torna secreto os gastos da mordomia'', ''Neutral''),
(''comunicado ocorrencia de casos de malaria na regiao de garimpo areinha regional de diamantina'', ''Neutral''),
(''confianca do consumidor do mexico recua em dezembro ante novembro economia estado de minas'', ''Neutral''),
(''congresso exagera nas homenagens em ano de tensao politica politica estado de minas'', ''Neutral''),
(''congresso tem propostas que melhorariam seguranca nos presidios paradas politica estado de minas'', ''Neutral''),
(''conheca a legislacao que regulamenta o uso de aeronave pelo governador de minas'', ''Neutral''),
(''conjunto da obra adelia prado vence o premio governo de minas gerais de literatura'', ''Neutral''),
(''conselho estadual de patrimonio de minas gerais aprova o reconhecimento da folia de reis como patrimonio cultural imaterial do estado'', ''Neutral''),
(''construcao de novos presidios nao tem prazo para ocorrer diz ministro da justica nacional estado de minas'', ''Neutral''),
(''consumo de energia no pais em dezembro sobe na base anual geracao cai estado de minas'', ''Neutral''),
(''contra pornografia e masturbacao deputado propoe projeto que barra conteudo na internet politicaestado de minas'', ''Neutral''),
(''corpo em estado de decomposicao e encontrado em pocos de caldas mg'', ''Neutral''),
(''crianca de anos se afoga e morre enquanto mae usa o celular na piscina internacional estado de minas'', ''Neutral''),
(''crianca morre em piscina de condominio de luxo no norte de minas gerais estado de minas'', ''Neutral''),
(''crime organizado e disputado por faccoes no pais estado de minas'', ''Neutral''),
(''criminalidade em nova york cai ao menor nivel em anos estado de minas'', ''Neutral''),
(''cultura religiao minas gerais'', ''Neutral''),
(''cultura governo de minas gerais reconhece folias de reis como patrimonio imaterial do estado'', ''Neutral''),
(''davos convida janot para falar sobre corrupcao politica estado de minas'', ''Neutral''),
(''de olho na reeleicao rodrigo maia reune deputados no recife em almoco politica estado de minas'', ''Neutral''),
(''de reis do lucro a banqueiros falidos economia estado de minas'', ''Neutral''),
(''defesa civil de mg confirma morte pela chuva no estado'', ''Neutral''),
(''defesa civil estadual confirma morte pela chuva em minas'', ''Neutral''),
